plot_name,locality_name,country,team_leader,additional_people,ddlat,ddlon,date_census_1
DengDeng006,DengDeng,Cameroun,LIBALAH M.,"KAMDEM N., ZEBAZE D., MOFACK G., TEXIER N., NGANA O.",5.22031,13.4032,8/10/2014
Pallisco1,Pallisco,Cameroun,Barbier N.,"Ploton P., Droissart V. Moses L., Taedoumg H.",3.40366,13.665,11/8/2012
Ngoila004,Ngoïla,Cameroun,Sonké B.,"Kamdem N., Moses L., Zebaze D.",2.62182,14.056,8/10/2013
Lomié007,Lomié,Cameroun,Libalah M.,"Kamdem N., Kamdem G., Wonkam C.",3.11642,13.5702,11/18/2013
Nemeyong002,Pallisco,Cameroun,Texier N.,"M. Libalah, N.Kandem, D. Zebaze, G.Mofack, O. Ngana",3.32148,13.648,1/1/2015
nachtigal001,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.37819,11.7229,2/28/2018
nachtigal002,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.35703,11.7084,2/28/2018
nachtigal003,nachtigal,Cameroun,Sagang Le Bienfaiteur,NA,4.37467,11.7418,2/28/2018
UMA010,uma,République Démocratique du Congo,John Katembo,NA,0.46031300000000003,25.8226,4/10/2015
UMA011,uma,République Démocratique du Congo,John Katembo,NA,0.442226,25.8697,4/15/2015
UMA012,uma,République Démocratique du Congo,John Katembo,NA,0.432948,25.8602,4/18/2015
UMA013,uma,République Démocratique du Congo,John Katembo,NA,0.44255,25.8561,4/22/2015
UMA014,uma,République Démocratique du Congo,John Katembo,NA,0.467264,25.8046,4/25/2015
UMA015,uma,République Démocratique du Congo,John Katembo,NA,0.444562,25.7931,4/28/2015
UMA018,uma,République Démocratique du Congo,John Katembo,NA,0.462625,25.8631,5/4/2015
UMA019,uma,République Démocratique du Congo,John Katembo,NA,0.446794,25.8264,5/6/2015
UMA020,uma,République Démocratique du Congo,John Katembo,NA,0.466515,25.8368,5/8/2015
UMA021,uma,République Démocratique du Congo,John Katembo,NA,0.568131,25.7776,6/7/2015
UMA022,uma,République Démocratique du Congo,John Katembo,NA,0.566517,25.7868,6/10/2015
UMA023,uma,République Démocratique du Congo,John Katembo,NA,0.553448,25.782,6/13/2015
UMA024,uma,République Démocratique du Congo,John Katembo,NA,0.548974,25.7707,6/17/2015
UMA025,uma,République Démocratique du Congo,John Katembo,NA,0.552311,25.7897,6/20/2015
UMA026,uma,République Démocratique du Congo,John Katembo,NA,0.573996,25.7968,6/24/2015
UMA027,uma,République Démocratique du Congo,John Katembo,NA,0.572786,25.8104,6/27/2015
UMA028,uma,République Démocratique du Congo,John Katembo,NA,0.566771,25.813,7/1/2015
UMA029,uma,République Démocratique du Congo,John Katembo,NA,0.522962,25.8742,7/3/2015
UMA030,uma,République Démocratique du Congo,John Katembo,NA,0.524499,25.8659,7/5/2015
